年度,大会,節,試合日,K/O時刻,ホーム,スコア,アウェイ,スタジアム,入場者数,TV放送
2007,Ｊ２,第１５節第２日,05/13(日),16:03,Ｃ大阪,0-1,札幌,長居２,"6,272",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）
2007,Ｊ２,第１６節第１日,05/19(土),13:03,草津,0-1,京都,松本,"3,096",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）／群馬テレビ（録）
2007,Ｊ２,第１６節第１日,05/19(土),13:04,札幌,3-0,水戸,札幌ド,"15,251",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）／テレビ北海道
2007,Ｊ２,第１６節第１日,05/19(土),14:04,福岡,1-2,鳥栖,博多球,"13,372",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）／ＮＨＫ福岡
2007,Ｊ２,第１６節第２日,05/20(日),13:03,東京Ｖ,1-0,湘南,国立,"11,346",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）
2007,Ｊ２,第１６節第２日,05/20(日),13:04,仙台,1-2,徳島,ユアスタ,"13,419",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）／ＮＨＫ仙台
2007,Ｊ２,第１６節第２日,05/20(日),16:03,Ｃ大阪,0-2,愛媛,長居２,"4,762",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）
2007,Ｊ２,第１７節第１日,05/23(水),19:03,東京Ｖ,4-2,福岡,味スタ,"3,504",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）／日本テレビ（録）
2007,Ｊ２,第１７節第１日,05/23(水),19:03,湘南,1-2,札幌,平塚,"3,872",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）
2007,Ｊ２,第１７節第１日,05/23(水),19:03,鳥栖,1-0,仙台,鳥栖,"4,398",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）
2007,Ｊ２,第１７節第１日,05/23(水),19:04,山形,0-0,徳島,ＮＤスタ,"3,373",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）
2007,Ｊ２,第１７節第１日,05/23(水),19:04,水戸,1-3,Ｃ大阪,笠松,"1,291",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）
